State,Constituency,Candidate,Party,Votes,Rnk
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,90969,1
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,83157,2
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,Telugu Desam,578145,1
Andhra Pradesh,Bapatla,VARIKUTI AMRUTHAPANI,Yuvajana Sramika Rythu Congress Party,545391,2
Andhra Pradesh,Nandyal,S.P.Y REDDY,Yuvajana Sramika Rythu Congress Party,622411,1
Andhra Pradesh,Nandyal,N.MD.FAROOK,Telugu Desam,516645,2
Bihar,Karakat,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,338892,1
Bihar,Karakat,KANTI SINGH,Rashtriya Janata Dal,233651,2
Bihar,Nalanda,KAUSHLENDRA KUMAR,Janata Dal  (United),321982,1
Bihar,Nalanda,SATYA NAND SHARMA,Lok Jan Shakti Party,312355,2
Bihar,Patna Sahib,SHATRUGHANA SINHA,Bharatiya Janata Party,485905,1
Bihar,Patna Sahib,KUNAL SINGH,Indian National Congress,220100,2
Bihar,Vaishali,RAMA KISHORE SINGH,Lok Jan Shakti Party,305450,1
Bihar,Vaishali,RAGHUVANSH PRASAD SINGH,Rashtriya Janata Dal,206183,2
Chhattisgarh,SARGUJA,KAMALBHAN SINGH MARABI,Bharatiya Janata Party,585336,1
Chhattisgarh,SARGUJA,RAM DEV RAM,Indian National Congress,438100,2
Dadra & Nagar Haveli,Dadar & Nagar Haveli,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,80790,1
Dadra & Nagar Haveli,Dadar & Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,Indian National Congress,74576,2
Gujarat,Bardoli,VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party,622769,1
Gujarat,Bardoli,CHAUDHARI TUSHARBHAI AMARSINHBHAI,Indian National Congress,498885,2
Gujarat,Surendranagar,FATEPARA DEVAJIBHAI GOVINDBHAI,Bharatiya Janata Party,529003,1
Gujarat,Surendranagar,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,326096,2
Haryana,Karnal,ASHWINI KUMAR,Bharatiya Janata Party,594817,1
Haryana,Karnal,ARVIND KUMAR SHARMA,Indian National Congress,234670,2
Haryana,Mahendragarh,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party,404542,1
Haryana,Mahendragarh,BAHADUR SINGH,Indian National Lok Dal,275148,2
Jharkhand,Dhanbad,PASHUPATI NATH SINGH,Bharatiya Janata Party,543491,1
Jharkhand,Dhanbad,AJAY KUMAR DUBEY,Indian National Congress,250537,2
Karnataka,Bangalore South,ANANTH KUMAR,Bharatiya Janata Party,633816,1
Karnataka,Bangalore South,NANDAN NILEKANI,Indian National Congress,405241,2
Karnataka,Bangalore central,P.C. MOHAN,Bharatiya Janata Party,557130,1
Karnataka,Bangalore central,RIZWAN ARSHAD,Indian National Congress,419630,2
Karnataka,Bidar,BHAGWANTH KHUBA,Bharatiya Janata Party,459290,1
Karnataka,Bidar,N. DHARAM SINGH,Indian National Congress,367068,2
Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,Bharatiya Janata Party,546939,1
Karnataka,Uttara Kannada,PRASHANT R DESHPANDE,Indian National Congress,406239,2
Madhya Pradesh,GUNA,JYOTIRADITYA M SCINDIA,Indian National Congress,517036,1
Madhya Pradesh,GUNA,JAIBHANSINGH PAWAIYA,Bharatiya Janata Party,396244,2
Madhya Pradesh,SIDHI,RITI PATHAK,Bharatiya Janata Party,475678,1
Madhya Pradesh,SIDHI,INDRAJEET KUMAR,Indian National Congress,367632,2
Maharashtra,Kalyan,DR.SHRIKANT EKNATH SHINDE,Shivsena,440892,1
Maharashtra,Kalyan,ANAND PRAKASH PARANJPE,Nationalist Congress Party,190143,2
Maharashtra,Mumbai   South,ARVIND SAWANT,Shivsena,374780,1
Maharashtra,Mumbai   South,DEORA MILIND MURLI,Indian National Congress,246632,2
Maharashtra,Sangli,SANJAYKAKA PATIL,Bharatiya Janata Party,611563,1
Maharashtra,Sangli,PATIL PRATIK PRAKASHBAPU,Indian National Congress,372271,2
Maharashtra,Washim,GAWALI BHAVANA PUNDLIKRAO,Shivsena,477905,1
Maharashtra,Washim,ADV.SHIVAJIRAO SHIVARAMJI MOGHE,Indian National Congress,384089,2
Manipur,Inner manipur,DR. THOKCHOM MEINYA,Indian National Congress,292102,1
Manipur,Inner manipur,MOIRANGTHEM NARA,Communist Party of India,197428,2
Meghalaya,Shillong,VINCENT H. PALA,Indian National Congress,209340,1
Meghalaya,Shillong,PRECHARD B. M. BASAIAWMOIT,Independent,168961,2
Odisha,Balasore,RABINDRA KUMAR JENA,Biju Janata Dal,433768,1
Odisha,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,291943,2
Odisha,Bolangir,KALIKESH NARAYAN SINGH DEO,Biju Janata Dal,453519,1
Odisha,Bolangir,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,349220,2
Odisha,Kalahandi,ARKA KESHARI DEO,Biju Janata Dal,370871,1
Odisha,Kalahandi,PRADIPTA KUMAR NAIK,Bharatiya Janata Party,314524,2
Odisha,Nabarangpur,BALABHADRA MAJHI,Biju Janata Dal,373887,1
Odisha,Nabarangpur,PRADEEP KUMAR MAJHI,Indian National Congress,371845,2
Punjab,Ludhiana,RAVNEET SINGH BITTU,Indian National Congress,300459,1
Punjab,Ludhiana,HARVINDER SINGH PHOOLKA,Aam Aadmi Party,280750,2
Rajasthan,Churu,RAHUL KASWAN,Bharatiya Janata Party,595756,1
Rajasthan,Churu,ABHINESH MAHARSHI,Bahujan Samaj Party,301017,2
Tamil Nadu,Arani,V.ELUMALAI,All India Anna Dravida Munnetra Kazhagam,502721,1
Tamil Nadu,Arani,R.SIVANANDAM,Dravida Munnetra Kazhagam,258877,2
Tamil Nadu,Mayiladuthurai,BHARATHI MOHAN R.K,All India Anna Dravida Munnetra Kazhagam,513729,1
Tamil Nadu,Mayiladuthurai,HYDER ALI.S,Manithaneya Makkal Katchi,236679,2
Uttar Pradesh,Bansgaon,KAMLESH PASWAN,Bharatiya Janata Party,417959,1
Uttar Pradesh,Bansgaon,SADAL PRASAD,Bahujan Samaj Party,228443,2
Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,Bharatiya Janata Party,331593,1
Uttar Pradesh,Kaushambi,SHAILENDRA KUMAR,Samajwadi Party,288746,2
Uttar Pradesh,Saharanpur,RAGHAV LAKHANPAL,Bharatiya Janata Party,472999,1
Uttar Pradesh,Saharanpur,IMRAN MASOOD,Indian National Congress,407909,2
West Bengal,Barasat,DR. KAKALI GHOSHDOSTIDAR,All India Trinamool Congress,525387,1
West Bengal,Barasat,DR. MORTOZA HOSSAIN,All India Forward Bloc,352246,2
Andhra Pradesh,Amalapuram,DR PANDULA RAVINDRA BABU,Telugu Desam,594547,1
Andhra Pradesh,Amalapuram,PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,473971,2
Andhra Pradesh,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,568463,1
Andhra Pradesh,Anakapalli,GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,520531,2
Andhra Pradesh,Srikakulam,RAMMOHAN NAIDU KINJARAPU,Telugu Desam,556163,1
Andhra Pradesh,Srikakulam,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,428591,2
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS,Telugu Desam,592696,1
Andhra Pradesh,Vijayawada,KONERU RAJENDRA PRASAD,Yuvajana Sramika Rythu Congress Party,517834,2
Bihar,Araria,TASLEEM UDDIN,Rashtriya Janata Dal,407978,1
Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,261474,2
Bihar,Jhanjharpur,BIRENDRA KUMAR CHAUDHARY,Bharatiya Janata Party,335481,1
Bihar,Jhanjharpur,MANGANI LAL MANDAL,Rashtriya Janata Dal,280073,2
Bihar,Madhepura,RAJESH RANJAN @ PAPPU YADAV,Rashtriya Janata Dal,368937,1
Bihar,Madhepura,SHARAD YADAV,Janata Dal  (United),312728,2
Bihar,Samastipur (SC),RAM CHANDRA PASWAN,Lok Jan Shakti Party,270401,1
Bihar,Samastipur (SC),DR. ASHOK KUMAR,Indian National Congress,263529,2
Chhattisgarh,KORBA,DR. BANSHILAL MAHTO,Bharatiya Janata Party,439002,1
Chhattisgarh,KORBA,CHARAN DAS MAHANT,Indian National Congress,434737,2
Goa,South Goa,ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party,198776,1
Goa,South Goa,ALEIXO REGINALDO LOURENCO,Indian National Congress,166446,2
Gujarat,Porbandar,RADADIYA VITHALBHAI  HANSRAJBHAI,Bharatiya Janata Party,508437,1
Gujarat,Porbandar,JADEJA KANDHALBHAI SARMANBHAI,Nationalist Congress Party,240466,2
Jharkhand,Godda,NISHIKANT DUBEY,Bharatiya Janata Party,380500,1
Jharkhand,Godda,FURKAN ANSARI,Indian National Congress,319818,2
Jharkhand,Kodarma,RAVINDRA KR. RAY,Bharatiya Janata Party,365410,1
Jharkhand,Kodarma,RAJKUMAR YADAV,Communist Party of India  (Marxist-Leninist)  (Liberation),266756,2
Kerala,Kollam,N.K.PREMACHANDRAN,Revolutionary Socialist Party,408528,1
Kerala,Kollam,M.A. BABY,Communist Party of India  (Marxist),370879,2
Kerala,Kozhikode,M .K RAGHAVAN,Indian National Congress,397615,1
Kerala,Kozhikode,A.VIJAYARAGHAVAN,Communist Party of India  (Marxist),380732,2
Kerala,Thrissur,C. N. JAYADEVAN,Communist Party of India,389209,1
Kerala,Thrissur,K. P. DHANAPALAN,Indian National Congress,350982,2
Lakshadweep,Lakshadweep,MOHAMMED FAIZAL P.P.,Nationalist Congress Party,21665,1
Lakshadweep,Lakshadweep,HAMDULLAH SAYEED,Indian National Congress,20130,2
