Constituency,State,Winner,Party,"CAST(""Total Votes"" AS INTEGER)","CAST(""% of Votes"" AS FLOAT)"
AJMER,Rajasthan,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,747462,62.23
ANANTNAG,Jammu and Kashmir,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,521836,50.85
Amritsar,Punjab,GURJEET SINGH AUJLA,Indian National Congress,255181,28.18
BARMER,Rajasthan,UMMEDA RAM BENIWAL,Indian National Congress,704676,41.74
Bargarh,Odisha,PRADEEP PUROHIT,Bharatiya Janata Party,716359,54.69
Bhiwandi,Maharashtra,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,499464,39.85
Chandrapur,Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,718410,57.88
Dahod,Gujarat,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,688715,61.59
Darjeeling,West Bengal,RAJU BISTA,Bharatiya Janata Party,679331,51.18
Farrukhabad,Uttar Pradesh,MUKESH RAJPUT,Bharatiya Janata Party,487963,47.2
Fatehpur,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,500328,45.2
Gadchiroli,Maharashtra,DR. KIRSAN  NAMDEO,Indian National Congress,617792,52.97
Garhwal,Uttarakhand,ANIL BALUNI,Bharatiya Janata Party,432159,58.6
Gautam Buddha Nagar,Uttar Pradesh,DR. MAHESH SHARMA,Bharatiya Janata Party,857829,59.69
Hoshiarpur,Punjab,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,303859,32.04
Inner Manipur,Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,374017,46.93
Jalpaiguri,West Bengal,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,766568,48.57
KARNAL,Haryana,MANOHAR LAL,Bharatiya Janata Party,739285,54.93
Kaiserganj,Uttar Pradesh,KARAN BHUSHAN SINGH,Bharatiya Janata Party,571263,53.79
Karakat,Bihar,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),380581,36.89
MAHASAMUND,Chhattisgarh,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,703659,53.06
Machilipatnam,Andhra Pradesh,BALASHOWRY VALLABHANENI,Janasena Party,724439,55.22
Maldaha Dakshin,West Bengal,ISHA KHAN CHOUDHURY,Indian National Congress,572395,41.79
Murshidabad,West Bengal,ABU TAHER KHAN,All India Trinamool Congress,682442,44.27
NAGAUR,Rajasthan,HANUMAN BENIWAL,Rashtriya Loktantrik Party,596955,48.2
Nagaon,Assam,PRADYUT BORDOLOI,Indian National Congress,788850,50.89
Nalanda,Bihar,KAUSHALENDRA KUMAR,Janata Dal  (United),559422,48.88
Navsari,Gujarat,C R PATIL,Bharatiya Janata Party,1031065,77.05
Outer Manipur,Manipur,ALFRED KANNGAM S ARTHUR,Indian National Congress,384954,48.32
POLLACHI,Tamil Nadu,ESWARASAMY K,Dravida Munnetra Kazhagam,533377,47.37
Patna Sahib,Bihar,RAVI SHANKAR PRASAD,Bharatiya Janata Party,588270,54.7
Rajmahal,Jharkhand,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,613371,50.35
Shahjahanpur,Uttar Pradesh,ARUN KUMAR SAGAR,Bharatiya Janata Party,592718,47.5
VIDISHA,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1116460,76.7
VILUPPURAM,Tamil Nadu,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,477033,41.39
Vaishali,Bihar,VEENA DEVI,Lok Janshakti Party(Ram Vilas),567043,48.38
Vizianagaram,Andhra Pradesh,APPALANAIDU KALISETTI,Telugu Desam,743113,57.2
Alathur,Kerala,K.RADHAKRISHNAN,Communist Party of India  (Marxist),403447,40.66
Almora,Uttarakhand,AJAY TAMTA,Bharatiya Janata Party,429167,64.2
BARAMULLA,Jammu and Kashmir,ABDUL RASHID SHEIKH,Independent,472481,45.7
Baramati,Maharashtra,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,732312,51.85
Chandni Chowk,NCT OF Delhi,PRAVEEN KHANDELWAL,Bharatiya Janata Party,516496,53.46
Dhule,Maharashtra,BACHHAV SHOBHA DINESH,Indian National Congress,583866,47.89
Diamond harbour,West Bengal,ABHISHEK BANERJEE,All India Trinamool Congress,1048230,68.48
Dindori,Maharashtra,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,577339,46.53
Domariyaganj,Uttar Pradesh,JAGDAMBIKA PAL,Bharatiya Janata Party,463303,45.47
Gaya,Bihar,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),494960,51.36
Giridih,Jharkhand,CHANDRA PRAKASH CHOUDHARY,AJSU Party,451139,35.67
Gopalganj,Bihar,DR. ALOK KUMAR SUMAN,Janata Dal  (United),511866,48.15
Gurdaspur,Punjab,SUKHJINDER SINGH RANDHAWA,Indian National Congress,364043,33.78
KORBA,Chhattisgarh,JYOTSNA CHARANDAS MAHANT,Indian National Congress,570182,46.53
Kadapa,Andhra Pradesh,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143,45.78
MANDI,Himachal Pradesh,KANGNA RANAUT,Bharatiya Janata Party,537022,52.87
Mahbubnagar,Telangana,ARUNA. D. K,Bharatiya Janata Party,510747,41.66
Medak,Telangana,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,471217,33.99
Mohanlalganj,Uttar Pradesh,R.K. CHAUDHARY,Samajwadi Party,667869,48.49
Munger,Bihar,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),550146,48.3
Narsapuram,Andhra Pradesh,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343,57.46
Palakkad,Kerala,V K SREEKANDAN,Indian National Congress,421169,40.66
Patan,Gujarat,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,591947,49.61
RAMANATHAPURAM,Tamil Nadu,NAVASKANI K,Indian Union Muslim League,509664,45.92
Rampur,Uttar Pradesh,MOHIBBULLAH,Samajwadi Party,481503,49.74
SRINAGAR,Jammu and Kashmir,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,356866,52.85
SURGUJA,Chhattisgarh,CHINTAMANI MAHARAJ,Bharatiya Janata Party,713200,49.01
Sabarkantha,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,677318,53.36
Saran,Bihar,RAJIV PRATAP RUDY,Bharatiya Janata Party,471752,46.18
Sheohar,Bihar,LOVELY ANAND,Janata Dal  (United),476612,45.15
TONK,Rajasthan,HARISH CHANDRA MEENA,Indian National Congress,623763,50.85
Alappuzha,Kerala,K. C VENUGOPAL,Indian National Congress,404560,38.21
Anandpur Sahib,Punjab,MALVINDER SINGH KANG,Aam Aadmi Party,313217,29.08
Asansol,West Bengal,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,605645,46.53
BHIND,Madhya Pradesh,SANDHYA RAY,Bharatiya Janata Party,537065,51.2
Balasore,Odisha,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,563865,45.49
Barrackpur,West Bengal,PARTHA BHOWMICK,All India Trinamool Congress,520231,45.56
Bolangir,Odisha,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,617744,44.12
Hatkanangale,Maharashtra,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,520190,40.14
Joynagar,West Bengal,PRATIMA MONDAL,All India Trinamool Congress,894312,60.32
Kalahandi,Odisha,MALVIKA DEVI,Bharatiya Janata Party,544303,40.79
Kannauj,Uttar Pradesh,AKHILESH YADAV,Samajwadi Party,642292,52.74
Khunti,Jharkhand,KALI CHARAN MUNDA,Indian National Congress,511647,54.62
MADURAI,Tamil Nadu,VENKATESAN S,Communist Party of India  (Marxist),430323,43.6
Malkajgiri,Telangana,EATALA RAJENDER,Bharatiya Janata Party,991042,51.25
Mathura,Uttar Pradesh,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,510064,53.3
Nabarangpur,Odisha,BALABHADRA MAJHI,Bharatiya Janata Party,481396,38.74
Nainital,Uttarakhand,AJAY BHATT,Bharatiya Janata Party,772671,61.03
Patiala,Punjab,DR DHARAMVIRA GANDHI,Indian National Congress,305616,26.54
Peddapalle,Telangana,VAMSI KRISHNA GADDAM,Indian National Congress,475587,43.42
Pilibhit,Uttar Pradesh,JITIN PRASADA,Bharatiya Janata Party,607158,52.3
Salempur,Uttar Pradesh,RAMASHANKAR RAJBHAR,Samajwadi Party,405472,44.2
Shirdi,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),476900,45.0
Sitamarhi,Bihar,DEVESH CHANDRA THAKUR,Janata Dal  (United),515719,47.14
Sultanpur,Uttar Pradesh,RAMBHUAL NISHAD,Samajwadi Party,444330,43.0
Ujiarpur,Bihar,NITYANAND RAI,Bharatiya Janata Party,515965,49.51
Vadakara,Kerala,SHAFI PARAMBIL,Indian National Congress,557528,49.65
Vadodara,Gujarat,DR. HEMANG JOSHI,Bharatiya Janata Party,873189,72.04
Valsad,Gujarat,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,764226,56.13
ARANI,Tamil Nadu,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,500099,43.86
Adilabad,Telangana,GODAM NAGESH,Bharatiya Janata Party,568168,45.98
Baharampur,West Bengal,PATHAN YUSUF,All India Trinamool Congress,524516,37.88
Bardhaman Purba,West Bengal,DR. SHARMILA SARKAR,All India Trinamool Congress,720302,48.11
