Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
Mumbai North West,Maharashtra,RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644.0,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),452596.0,48.0
Attingal,Kerala,ADV ADOOR PRAKASH,Indian National Congress,328051.0,V JOY,Communist Party of India  (Marxist),327367.0,684.0
Jajpur,Odisha,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,534239.0,SARMISTHA SETHI,Biju Janata Dal,532652.0,1587.0
JAIPUR RURAL,Rajasthan,RAO RAJENDRA SINGH,Bharatiya Janata Party,617877.0,ANIL CHOPRA,Indian National Congress,616262.0,1615.0
KANKER,Chhattisgarh,BHOJRAJ NAG,Bharatiya Janata Party,597624.0,BIRESH THAKUR,Indian National Congress,595740.0,1884.0
Chandigarh,Chandigarh,MANISH TEWARI,Indian National Congress,216657.0,SANJAY TANDON,Bharatiya Janata Party,214153.0,2504.0
Hamirpur,Uttar Pradesh,AJENDRA SINGH LODHI,Samajwadi Party,490683.0,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,488054.0,2629.0
Lakshadweep,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25726.0,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,23079.0,2647.0
Farrukhabad,Uttar Pradesh,MUKESH RAJPUT,Bharatiya Janata Party,487963.0,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,485285.0,2678.0
Bansgaon,Uttar Pradesh,KAMLESH PASWAN,Bharatiya Janata Party,428693.0,SADAL PRASAD,Indian National Congress,425543.0,3150.0
Firozpur,Punjab,SHER SINGH GHUBAYA,Indian National Congress,266626.0,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,263384.0,3242.0
Salempur,Uttar Pradesh,RAMASHANKAR RAJBHAR,Samajwadi Party,405472.0,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,401899.0,3573.0
Dhule,Maharashtra,BACHHAV SHOBHA DINESH,Indian National Congress,583866.0,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,580035.0,3831.0
Phulpur,Uttar Pradesh,PRAVEEN PATEL,Bharatiya Janata Party,452600.0,AMAR NATH SINGH MAURYA,Samajwadi Party,448268.0,4332.0
VIRUDHUNAGAR,Tamil Nadu,MANICKAM TAGORE B,Indian National Congress,385256.0,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,380877.0,4379.0
Dhaurahra,Uttar Pradesh,ANAND BHADAURIYA,Samajwadi Party,443743.0,REKHA VERMA,Bharatiya Janata Party,439294.0,4449.0
Mahbubnagar,Telangana,ARUNA. D. K,Bharatiya Janata Party,510747.0,CHALLA VAMSHI CHAND REDDY,Indian National Congress,506247.0,4500.0
Bishnupur,West Bengal,KHAN SAUMITRA,Bharatiya Janata Party,680130.0,SUJATA MONDAL,All India Trinamool Congress,674563.0,5567.0
Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,PATEL UMESHBHAI BABUBHAI,Independent,42523.0,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36298.0,6225.0
Arambagh,West Bengal,BAG MITALI,All India Trinamool Congress,712587.0,ARUP KANTI DIGAR,Bharatiya Janata Party,706188.0,6399.0
Beed,Maharashtra,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,683950.0,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,677397.0,6553.0
Balurghat,West Bengal,SUKANTA MAJUMDAR,Bharatiya Janata Party,574996.0,BIPLAB MITRA,All India Trinamool Congress,564610.0,10386.0
Meerut,Uttar Pradesh,ARUN GOVIL,Bharatiya Janata Party,546469.0,SUNITA VERMA,Samajwadi Party,535884.0,10585.0
Anandpur Sahib,Punjab,MALVINDER SINGH KANG,Aam Aadmi Party,313217.0,VIJAY INDER SINGLA,Indian National Congress,302371.0,10846.0
Mavelikkara,Kerala,KODIKUNNIL SURESH,Indian National Congress,369516.0,ADV ARUN KUMAR C A,Communist Party of India,358648.0,10868.0
Hatkanangale,Maharashtra,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,520190.0,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),506764.0,13426.0
South Goa,Goa,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,217836.0,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,204301.0,13535.0
Saran,Bihar,RAJIV PRATAP RUDY,Bharatiya Janata Party,471752.0,ROHINI ACHARYA,Rashtriya Janata Dal,458091.0,13661.0
Thirupathi,Andhra Pradesh,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,632228.0,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,617659.0,14569.0
Patiala,Punjab,DR DHARAMVIRA GANDHI,Indian National Congress,305616.0,DR BALBIR SINGH,Aam Aadmi Party,290785.0,14831.0
Aligarh,Uttar Pradesh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,501834.0,BIJENDRA SINGH,Samajwadi Party,486187.0,15647.0
Aonla,Uttar Pradesh,NEERAJ MAURYA,Samajwadi Party,492515.0,DHARMENDRA KASHYAP,Bharatiya Janata Party,476546.0,15969.0
Thiruvananthapuram,Kerala,SHASHI THAROOR,Indian National Congress,358155.0,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,342078.0,16077.0
Mumbai North Central,Maharashtra,GAIKWAD VARSHA EKNATH,Indian National Congress,445545.0,ADV UJWAL NIKAM,Bharatiya Janata Party,429031.0,16514.0
