Candidate,Party,Votes,State,Constituency
SHARAD KUMAR,Aam Aadmi Party,96143,NCT OF Delhi,NERELA
NEEL DAMAN KHATRI,Bharatiya Janata Party,55851,NCT OF Delhi,NERELA
PRAVEEN KUMAR BHUGRA,Indian National Congress,4643,NCT OF Delhi,NERELA
ROOPESH BHARDWAJ,Bahujan Samaj Party,1662,NCT OF Delhi,NERELA
BRIJ MOHAN,Shivsena,478,NCT OF Delhi,NERELA
SURENDER,Communist Party of India  (Marxist-Leninist)  (Liberation),363,NCT OF Delhi,NERELA
MANOJ KUMAR,Independent,218,NCT OF Delhi,NERELA
AJAY MUDGIL,Independent,191,NCT OF Delhi,NERELA
None of the Above,None of the Above,767,NCT OF Delhi,NERELA
SANDEEP KUMAR,Aam Aadmi Party,80269,NCT OF Delhi,SULTANPUR MAJRA
PARBHU DAYAL,Bharatiya Janata Party,15830,NCT OF Delhi,SULTANPUR MAJRA
JAI KISHAN,Indian National Congress,15036,NCT OF Delhi,SULTANPUR MAJRA
NATHU RAM,Bahujan Samaj Party,2838,NCT OF Delhi,SULTANPUR MAJRA
GURDAYAL SINGH,Shivsena,549,NCT OF Delhi,SULTANPUR MAJRA
SONU,Bahujan Mukti Party,309,NCT OF Delhi,SULTANPUR MAJRA
RAMESH KUMAR,Independent,148,NCT OF Delhi,SULTANPUR MAJRA
None of the Above,None of the Above,521,NCT OF Delhi,SULTANPUR MAJRA
RAGHUVINDER SHOKEEN,Aam Aadmi Party,83259,NCT OF Delhi,NANGLOI JAT
MANOJ KUMAR SHOKEEN,Bharatiya Janata Party,46235,NCT OF Delhi,NANGLOI JAT
DR. BIJENDER SINGH,Indian National Congress,15756,NCT OF Delhi,NANGLOI JAT
NARENDER BINDAL,Independent,3323,NCT OF Delhi,NANGLOI JAT
KULWANT RAI BANSAL,Bahujan Samaj Party,1173,NCT OF Delhi,NANGLOI JAT
SANDEEP KHATIK,Janata Dal  (United),538,NCT OF Delhi,NANGLOI JAT
RAGHVENDER SINGH,Independent,410,NCT OF Delhi,NANGLOI JAT
MAHESH KUMAR,Independent,289,NCT OF Delhi,NANGLOI JAT
ADARSH SHARMA,Purvanchal Mahapanchayat,280,NCT OF Delhi,NANGLOI JAT
ANIL,Independent,139,NCT OF Delhi,NANGLOI JAT
HARI SHANKAR SHARMA,All India Forward Bloc,131,NCT OF Delhi,NANGLOI JAT
DHARAM PAL BHILWARA,Hind Congress Party,103,NCT OF Delhi,NANGLOI JAT
ROHTASH SINGH,Sathi Aur Aapka Faisala Party,102,NCT OF Delhi,NANGLOI JAT
DR. TARUN KUMAR,Vishva SHakti Party,62,NCT OF Delhi,NANGLOI JAT
RATAN LAL GUPTA (ADVOCATE),Delhi Janta Party,58,NCT OF Delhi,NANGLOI JAT
None of the Above,None of the Above,517,NCT OF Delhi,NANGLOI JAT
RAKHI BIRLA,Aam Aadmi Party,60534,NCT OF Delhi,MANGOL PURI
RAJ KUMAR CHAUHAN,Indian National Congress,37835,NCT OF Delhi,MANGOL PURI
SURJEET KUMAR,Bharatiya Janata Party,27889,NCT OF Delhi,MANGOL PURI
